time,T_amb,q_server_kW,T_room,phi_room,X_room,vent_on,ac_on,m_dot_vent,Q_AC_kW,Q_AC_max_kW,m_dot_ac,W_comp_kW,fan_limited,ac_overloaded,n_cycles_cum
0.0,13.4,2.2,14.996831787906203,0.6001224486782688,0.006431847563044655,True,False,1.3500713132210325,0.0,0.0,0.0,0.0,False,False,0
0.08333333333333333,13.3,2.18,14.999515891114864,0.549942556998579,0.005889977619002763,True,False,1.2593378944560965,0.0,0.0,0.0,0.0,False,False,0
0.16666666666666666,13.2,2.17,14.999916133143017,0.539554080928187,0.005777832111607146,True,False,1.184123058583526,0.0,0.0,0.0,0.0,False,False,0
0.25,13.1,2.15,14.999983868846712,0.5349710877688532,0.005728328228769234,True,False,1.1116408183988435,0.0,0.0,0.0,0.0,False,False,0
0.3333333333333333,13.0,2.13,14.999996567919851,0.5313740886631144,0.005689464909583869,True,False,1.0463935797297095,0.0,0.0,0.0,0.0,False,False,0
0.4166666666666667,12.9,2.12,14.999999200352482,0.5279763126272119,0.00565275499181211,True,False,0.9920287218075727,0.0,0.0,0.0,0.0,False,False,0
0.5,12.8,2.1,14.999999799039676,0.5246296148927383,0.005616600386442484,True,False,0.9381307567960798,0.0,0.0,0.0,0.0,False,False,0
0.5833333333333334,12.72,2.08,14.999999945560957,0.5213183181196859,0.005580832154782549,True,False,0.8966862596161063,0.0,0.0,0.0,0.0,False,False,0
0.6666666666666666,12.63,2.07,14.999999984376968,0.5185013932702632,0.005550407247190509,True,False,0.8585845226726962,0.0,0.0,0.0,0.0,False,False,0
0.75,12.55,2.05,14.99999999527221,0.515586826448828,0.005518930827163579,True,False,0.8226041378675298,0.0,0.0,0.0,0.0,False,False,0
0.8333333333333334,12.47,2.03,14.999999998495802,0.5128877010599249,0.0054897839214244635,True,False,0.7888953278778088,0.0,0.0,0.0,0.0,False,False,0
0.9166666666666666,12.38,2.02,14.999999999498428,0.510260868489489,0.005461420279331409,True,False,0.7581207322691494,0.0,0.0,0.0,0.0,False,False,0
1.0,12.3,2.0,14.999999999825429,0.5074470675552,0.0054310406606452285,True,False,0.7284384517687668,0.0,0.0,0.0,0.0,False,False,0
1.0833333333333333,12.23,2.0,14.999999999936676,0.5047976901868697,0.005402438954091047,True,False,0.7100837587705354,0.0,0.0,0.0,0.0,False,False,0
1.1666666666666667,12.17,2.0,14.999999999976435,0.5023983786481705,0.00537653911648831,True,False,0.6950729543835265,0.0,0.0,0.0,0.0,False,False,0
1.25,12.1,2.0,14.999999999991045,0.5002919586052946,0.005353802716069016,True,False,0.6783444258835111,0.0,0.0,0.0,0.0,False,False,0
1.3333333333333333,12.03,2.0,14.999999999996518,0.49810016397862383,0.0053301465438784735,True,False,0.6624034872901101,0.0,0.0,0.0,0.0,False,False,0
1.4166666666666667,11.97,2.0,14.999999999998614,0.4958825617306509,0.005306213644078191,True,False,0.6493253497260651,0.0,0.0,0.0,0.0,False,False,0
1.5,11.9,2.0,14.99999999999944,0.4938495556194528,0.005284274554791036,True,False,0.6347066076487992,0.0,0.0,0.0,0.0,False,False,0
1.5833333333333335,11.8,2.0,14.99999999999977,0.4917062858828707,0.005261147222420212,True,False,0.6149308599937778,0.0,0.0,0.0,0.0,False,False,0
1.6666666666666665,11.7,2.0,14.999999999999902,0.488982369722,0.00523175678262993,True,False,0.5963522758357046,0.0,0.0,0.0,0.0,False,False,0
