time,T_amb,q_server_kW,T_room,phi_room,X_room,vent_on,ac_on,m_dot_vent,Q_AC_kW,Q_AC_max_kW,m_dot_ac,W_comp_kW,W_fan_kW,W_el_kW,COP_eff,fan_limited,ac_overloaded,n_cycles_cum
0.0,11.4,2.2,14.996831787906203,0.6001224486782688,0.006431847563044655,True,False,0.8204991023905533,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.08333333333333333,11.25,2.18,14.344776123468533,0.5366676164767721,0.005506488439281307,True,False,0.7312003253831177,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.16666666666666666,11.1,2.17,14.2423362138045,0.5101493064616963,0.0051972204345782395,True,False,0.685794601121015,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.25,10.95,2.15,14.225351368619604,0.49721371096902045,0.005058748260543912,True,False,0.6525502296420725,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.3333333333333333,10.8,2.13,14.206433538415919,0.4898777685551015,0.004977358092438455,True,False,0.6216536310310475,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.4166666666666667,10.65,2.12,14.187431076396054,0.48457893208558966,0.004916985862790991,True,False,0.5930350342642966,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.5,10.5,2.1,14.177783669767248,0.47978387900355324,0.004864882880802594,True,False,0.5677049405321704,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.5833333333333334,10.38,2.08,14.158822966471925,0.4756099226188299,0.004816262061261035,True,False,0.5472821207513133,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.6666666666666666,10.27,2.07,14.139925870415041,0.47207113122255623,0.004774252679971204,True,False,0.5292910215778257,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.75,10.15,2.05,14.130761059311622,0.46867916737626036,0.004736849458885005,True,False,0.5121746661872094,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.8333333333333334,10.03,2.03,14.111496909521875,0.46564492691950826,0.0047000307610036395,True,False,0.49459955767524233,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
0.9166666666666666,9.92,2.02,14.092640723794348,0.46263737566395424,0.0046636953859528684,True,False,0.47906848392343754,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.0,9.8,2.0,14.083799908392,0.45950244771567916,0.004629182424274826,True,False,0.4645050181655585,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.0833333333333333,9.67,2.0,14.064212431239438,0.4566340271724722,0.004594186018495139,True,False,0.44817568771333377,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.1666666666666667,9.53,2.0,14.065817435124027,0.45299721040604696,0.0045578060789698725,True,False,0.434608739760175,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.25,9.4,2.0,14.065626654616034,0.44921327758149954,0.004519401270582492,True,False,0.422519448439402,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.3333333333333333,9.27,2.0,14.065608519556124,0.44546449463264565,0.004481408834889687,True,False,0.4111075311502652,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.4166666666666667,9.13,2.0,14.065570890121679,0.4417502860448695,0.004443765719346496,True,False,0.3994872120309721,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.5,9.0,2.0,14.065530965974789,0.4379479690527905,0.004405234106737445,True,False,0.3892709117793092,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.5833333333333335,8.88,2.0,14.065493371560384,0.4342277215315097,0.0043675393625691936,True,False,0.38029462431775324,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.6666666666666665,8.77,2.0,14.06545790926116,0.4306776655325841,0.0043315735715685295,True,False,0.37242327603231135,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
1.75,8.65,2.0,14.065424893751254,0.42734385494147425,0.004297802564868462,True,False,0.3642014164565354,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,0
